,symbol,name
43,SH600499,科达洁能
44,SH603306,华懋科技
45,SH603603,博天环境
46,SH603727,博迈科
47,SH600894,广日股份
48,SH600790,轻纺城
49,SH601002,晋亿实业
50,SH600761,安徽合力
51,SH600397,安源煤业
52,SH603101,汇嘉时代
53,SH601333,广深铁路
54,SH603618,杭电股份
55,SH603790,雅运股份
56,SH600823,世茂股份
57,SH600090,*ST济堂
58,SH601068,中铝国际
59,SH600493,凤竹纺织
60,SH603556,海兴电力
61,SH600759,洲际油气
62,SH603648,畅联股份
63,SH603168,莎普爱思
64,SH600389,江山股份
65,SH600980,北矿科技
66,SH600468,百利电气
67,SH600716,凤凰股份
68,SH600727,鲁北化工
69,SH600569,安阳钢铁
70,SH600381,青海春天
71,SH600106,重庆路桥
72,SH603297,永新光学
73,SH601010,文峰股份
74,SH601918,新集能源
75,SH601798,蓝科高新
76,SH600816,*ST安信
77,SH600139,西部资源
78,SH600753,东方银星
79,SH601366,利群股份
80,SH603039,泛微网络
81,SH600382,广东明珠
82,SH600936,广西广电
83,SH603999,读者传媒
84,SH603029,天鹅股份
85,SH603839,安正时尚
86,SH600096,云天化
87,SH603928,兴业股份
88,SH601858,中国科传
89,SH600896,览海医疗
0,SH603506,南都物业
1,SH600207,安彩高科
2,SH600054,黄山旅游
3,SH600169,太原重工
4,SH600675,中华企业
5,SH601588,北辰实业
6,SH600508,上海能源
